Date,Close/Last,Volume,Open,High,Low
08/12/2022,$300.03,79657298,$289.415,$300.16,$285.0333
08/15/2022,$309.32,89359179,$301.7866,$313.1333,$301.23
08/16/2022,$306.5633,88136319,$311.6666,$314.6666,$302.8833
08/17/2022,$303.9966,68765977,$303.3966,$309.6566,$300.0333
08/18/2022,$302.87,47500535,$306,$306.5,$301.8533
08/19/2022,$296.6666,61395396,$299,$300.36,$292.5
08/22/2022,$289.9133,55843356,$291.9133,$292.4,$286.2966
08/23/2022,$296.4533,63985056,$291.4533,$298.8266,$287.9233
08/24/2022,$297.0966,57259716,$297.5633,$303.6466,$296.5
08/25/2022,$296.07,53230010,$302.36,$302.96,$291.6
08/26/2022,$288.09,57163950,$297.43,$302,$287.47
08/29/2022,$284.82,41864740,$282.83,$287.74,$280.7
08/30/2022,$277.7,50541760,$287.865,$288.48,$272.65
08/31/2022,$275.61,52107340,$280.62,$281.25,$271.81
09/01/2022,$277.16,54287020,$272.575,$277.58,$266.15
09/02/2022,$270.21,50890090,$281.065,$282.35,$269.08
09/06/2022,$274.42,55859980,$272.675,$275.99,$265.74
09/07/2022,$283.7,50028920,$273.1,$283.84,$272.27
09/08/2022,$289.26,53713120,$281.3,$289.5,$279.76
09/09/2022,$299.68,54470850,$291.67,$299.85,$291.245
09/12/2022,$304.42,48674600,$300.72,$305.49,$300.4
09/13/2022,$292.13,68229620,$292.9,$297.3999,$290.4
09/14/2022,$302.61,72628650,$292.24,$306,$291.64
09/15/2022,$303.75,64795520,$301.825,$309.12,$300.7247
09/16/2022,$303.35,87087790,$299.605,$303.71,$295.6005
09/19/2022,$309.07,60231160,$300.09,$309.84,$297.8
09/20/2022,$308.73,61642780,$306.91,$313.33,$305.58
09/21/2022,$300.8,62555660,$308.29,$313.8,$300.63
09/22/2022,$288.59,70545410,$299.86,$301.29,$285.82
09/23/2022,$275.33,63748360,$283.09,$284.5,$272.82
09/26/2022,$276.01,58076910,$271.83,$284.09,$270.31
09/27/2022,$282.94,61925190,$283.84,$288.67,$277.51
09/28/2022,$287.81,54664810,$283.08,$289,$277.57
09/29/2022,$268.21,77620640,$282.76,$283.65,$265.78
09/30/2022,$265.25,67726600,$266.145,$275.57,$262.47
10/03/2022,$242.4,98363540,$254.5,$255.16,$241.01
10/04/2022,$249.44,109578500,$250.52,$257.5,$242.01
10/05/2022,$240.81,86982670,$245.01,$246.6697,$233.27
10/06/2022,$238.13,69298440,$239.44,$244.58,$235.35
10/07/2022,$223.07,83916800,$233.935,$234.5715,$222.02
10/10/2022,$222.96,67925020,$223.93,$226.99,$218.3582
10/11/2022,$216.5,77013200,$220.945,$225.75,$215
10/12/2022,$217.24,66860700,$215.33,$219.2999,$211.51
10/13/2022,$221.72,91483050,$208.3,$222.99,$206.22
10/14/2022,$204.99,94124510,$224.01,$226.26,$204.16
10/17/2022,$219.35,79428810,$210.04,$221.86,$209.45
10/18/2022,$220.19,75891910,$229.5,$229.82,$217.25
10/19/2022,$222.04,66571480,$219.8,$222.93,$217.78
10/20/2022,$207.28,117798100,$208.28,$215.55,$202
10/21/2022,$214.44,75713750,$206.415,$214.66,$203.8
10/24/2022,$211.25,100446800,$205.82,$213.5,$198.5863
10/25/2022,$222.415,96507870,$210.1,$224.3498,$210
10/26/2022,$224.64,85327080,$219.4,$230.6,$218.2
10/27/2022,$225.09,61638820,$229.77,$233.81,$222.85
10/28/2022,$228.52,69152390,$225.4,$228.86,$216.35
10/31/2022,$227.54,61554340,$226.19,$229.85,$221.94
11/01/2022,$227.82,62688820,$234.05,$237.3951,$227.28
11/02/2022,$214.98,63070290,$226.04,$227.8699,$214.82
11/03/2022,$215.31,56538850,$211.36,$221.2,$210.14
11/04/2022,$207.47,98622210,$222.6,$223.8,$203.08
11/07/2022,$197.08,93916520,$208.65,$208.9,$196.66
11/08/2022,$191.3,128803400,$194.02,$195.2,$186.75
11/09/2022,$177.59,127062700,$190.775,$195.89,$177.12
11/10/2022,$190.72,132703000,$189.9,$191,$180.03
11/11/2022,$195.97,114403600,$186,$196.52,$182.59
11/14/2022,$190.95,92226650,$192.77,$195.73,$186.34
11/15/2022,$194.42,91293790,$195.88,$200.8237,$192.06
11/16/2022,$186.92,66567600,$191.51,$192.57,$185.66
11/17/2022,$183.17,64335970,$183.96,$186.16,$180.9
11/18/2022,$180.19,76048870,$185.05,$185.19,$176.55
11/21/2022,$167.87,92882710,$175.85,$176.77,$167.54
11/22/2022,$169.91,78452330,$168.63,$170.92,$166.185
11/23/2022,$183.2,109536700,$173.57,$183.62,$172.5
11/25/2022,$182.86,50672740,$185.06,$185.2,$180.63
11/28/2022,$182.92,93038150,$179.96,$188.5,$179
11/29/2022,$180.83,83357110,$184.99,$186.38,$178.75
11/30/2022,$194.7,109186400,$182.43,$194.76,$180.6301
12/01/2022,$194.7,80046210,$197.08,$198.92,$191.8
12/02/2022,$194.86,73645920,$191.78,$196.25,$191.11
12/05/2022,$182.45,93122670,$189.44,$191.27,$180.55
12/06/2022,$179.82,92150820,$181.215,$183.65,$175.33
12/07/2022,$174.04,84213280,$175.03,$179.38,$172.218
12/08/2022,$173.44,97624490,$172.2,$175.2,$169.06
12/09/2022,$179.05,104872300,$173.84,$182.5,$173.36
